"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",61.56437,"E","Estimated value"
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",43.06076,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",73.73349,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",77.89011,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",95.45898,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",75.97023,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",73.1273,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",70.24029,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",75.59615,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",73.91666,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",70.05127,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",77.13493,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",90.45759,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",99.74554,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",103.7139,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",95.06601,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",83.31048,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",78.50883,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",79.89125,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2015_100","2015=100",80.80536,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units","2015_100","2015=100",76.15701,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units","2015_100","2015=100",79.4229,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units","2015_100","2015=100",72.3308,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units","2015_100","2015=100",70.70178,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-05","May-2019","IDX","Index","0","Units","2015_100","2015=100",74.30051,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units","2015_100","2015=100",74.3796,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units","2015_100","2015=100",67.40154,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units","2015_100","2015=100",71.478,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units","2015_100","2015=100",71.84132,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units","2015_100","2015=100",70.37581,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units","2015_100","2015=100",76.3146,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units","2015_100","2015=100",80.09806,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",72.38504,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",78.17793,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",71.18701,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",78.55695,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",69.23911,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",62.35776,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",76.99652,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",74.78767,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",79.62061,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",88.72384,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2015_100","2015=100",89.12974,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units","2015_100","2015=100",93.5192,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units","2015_100","2015=100",94.57606,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units","2015_100","2015=100",96.19934,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units","2015_100","2015=100",108.4612,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units","2015_100","2015=100",108.0164,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-05","May-2021","IDX","Index","0","Units","2015_100","2015=100",106.1717,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units","2015_100","2015=100",96.95364,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-07","Jul-2021","IDX","Index","0","Units","2015_100","2015=100",94.6619,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-08","Aug-2021","IDX","Index","0","Units","2015_100","2015=100",97.56887,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-09","Sep-2021","IDX","Index","0","Units","2015_100","2015=100",92.96726,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-10","Oct-2021","IDX","Index","0","Units","2015_100","2015=100",83.47334,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-11","Nov-2021","IDX","Index","0","Units","2015_100","2015=100",80.56744,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2021-12","Dec-2021","IDX","Index","0","Units","2015_100","2015=100",85.89066,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-01","Jan-2022","IDX","Index","0","Units","2015_100","2015=100",74.1332,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-02","Feb-2022","IDX","Index","0","Units","2015_100","2015=100",89.27151,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-03","Mar-2022","IDX","Index","0","Units","2015_100","2015=100",72.12179,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-04","Apr-2022","IDX","Index","0","Units","2015_100","2015=100",75.57053,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-05","May-2022","IDX","Index","0","Units","2015_100","2015=100",82.90469,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-06","Jun-2022","IDX","Index","0","Units","2015_100","2015=100",81.19852,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-07","Jul-2022","IDX","Index","0","Units","2015_100","2015=100",74.45204,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-08","Aug-2022","IDX","Index","0","Units","2015_100","2015=100",86.97052,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2022-09","Sep-2022","IDX","Index","0","Units","2015_100","2015=100",80.99353,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2010_100","2010=100",77.49963,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2010_100","2010=100",80.85131,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2010_100","2010=100",102.2279,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2010_100","2010=100",80.03275,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2010_100","2010=100",81.21789,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2010_100","2010=100",73.74935,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2010_100","2010=100",75.4025,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2010_100","2010=100",81.87986,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2010_100","2010=100",75.44698,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2010_100","2010=100",75.11778,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2010_100","2010=100",90.64387,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2010_100","2010=100",93.17431,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2010_100","2010=100",119.7386,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2010_100","2010=100",102.7996,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2010_100","2010=100",93.01237,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2010_100","2010=100",87.61694,,
"WSCNDW01","Work started for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2010_100","2010=100",85.22353,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",99.42009,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",92.98946,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",98.31866,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",100.5677,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",99.21501,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",99.96741,,
"PRCNTO01","Production of total construction sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",98.14211,,
